NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82170,"Transport Canada Recall - 2026246 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026246-general-motors,TC,"Car recalled by GENERAL MOTORS",Airbag,,"Car - SUV",,2026-07-30,0
82291,"​​BenQ GV31 Portable Projector​ recalled due to burn and fire hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/benq-gv31-portable-projector-recalled-due-burn-and-fire-hazard,"Consumer product safety","BenQ GV31 Portable Projector","Burn hazard - Fire hazard","Consumers should immediately stop using the recalled product and return it to BenQ for a repair or replacement.​​For more information, consumers can contact ​BenQ​ by telephone toll-free at 1-866-600-2367, from 8:30 am to 5:30 pm CST, Monday through Friday or visit the company website https://www.benq.com/en-ca/support/gv31recall.html for more information.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and BenQ America.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2026-07-30,0
82416,"Femyso: Affected lot may contain two green Mifepristone cartons or two pink Misoprostol cartons instead of one of each.",https://recalls-rappels.canada.ca/en/alert-recall/femyso-affected-lot-may-contain-two-green-mifepristone-cartons-or-two-pink-misoprostol,"Drugs and health products","Femyso Mifepristone 200mg / Misoprostol 200 mcg tablet",Packaging,"Verify whether your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product, or if you have any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-07-30,0
82418,"Pharmasave Regular Strength Dairy Digestive Supplement Lactase Enzyme: Affected lot is labelled with the incorrect Natural Product Number (NPN) on the carton. ",https://recalls-rappels.canada.ca/en/alert-recall/pharmasave-regular-strength-dairy-digestive-supplement-lactase-enzyme-affected-lot,"Drugs and health products","Pharmasave Regular Strength Dairy Digestive Supplement Lactase Enzyme",Labelling,"Verify whether your product is affected.Consult your healthcare provider prior to&nbsp;discontinuing&nbsp;use of the affected product,&nbsp;or&nbsp;for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Natural health products",,2026-07-30,0
82430,"Transport Canada Recall - 2026356 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026356-ford,TC,"SUV recalled by FORD",Electrical,,SUV,,2026-07-30,0
82432,"Transport Canada Recall - 2026364 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026364-mercedes-benz,TC,"SUV recalled by MERCEDES-BENZ",Structure,,"Car - SUV",,2026-07-30,0
81688,"Transport Canada Recall - 2026070 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026070-ford,TC,"SUV recalled by FORD","High Voltage",,SUV,,2026-07-29,0
82347,"Transport Canada Recall - 2026318 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026318-ford,TC,"SUV recalled by FORD",Other,,SUV,,2026-07-29,0
82414,"Azurion Systems",https://recalls-rappels.canada.ca/en/alert-recall/azurion-systems-0,"Medical devices","Azurion Systems",Performance,,Radiology,"Type II",2026-07-29,0
82417,"Divya brand Cumin Powder recalled due to presence of sand",https://recalls-rappels.canada.ca/en/alert-recall/divya-brand-cumin-powder-recalled-due-presence-sand,CFIA,"Cumin Powder","Extraneous Material",,"Herbs and spices","Class 3",2026-07-29,0
82423,"Transport Canada Recall - 2026301 - PORSCHE",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026301-porsche,TC,"SUV recalled by PORSCHE",Other,,"SUV - Car",,2026-07-29,0
82424,"Transport Canada Recall - 2026354 - GOODBABY",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026354-goodbaby,TC,"Child Car Seat recalled by GOODBABY","Seats And Restraints",,"Child Car Seat",,2026-07-29,0
82425,"Transport Canada Recall - 2026355 - TEREX",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026355-terex,TC,"Equipment recalled by TEREX",Accessories,,Equipment,,2026-07-29,0
75806,"Signa MR Systems",https://recalls-rappels.canada.ca/en/alert-recall/signa-mr-systems,"Medical devices","Signa MR Systems",Performance,,Radiology,"Type II",2026-07-28,0
81869,"Rexall and Pro-Line chemical products recalled due to lack of child-resistant packaging",https://recalls-rappels.canada.ca/en/alert-recall/rexall-and-pro-line-chemical-products-recalled-due-lack-child-resistant-packaging,"Consumer product safety","Rexall Methyl Hydrate / Methanol, Pro-Line Methyl Hydrate, Pro-Line Lacquer Thinner,  Pro-Line Paint Thinner, Pro-Line Xylene, and Pro-Line Acetone","Labelling and packaging","Consumers should&nbsp;immediately&nbsp;stop using&nbsp;the recalled&nbsp;products&nbsp;and&nbsp;return them to the retail location where they were&nbsp;purchased&nbsp;for replacement.&nbsp;For more information, consumers can contact&nbsp;Rexall Solutions&nbsp;by telephone&nbsp;at&nbsp;1-877 505-2425 extension 207, between 9 a.m. to 3 p.m. EST, Monday through Friday&nbsp;or&nbsp;by email at&nbsp;diana@rexallsolutions.com.Please note that the&nbsp;Canada Consumer Product Safety Act&nbsp;prohibits recalled products from being redistributed,&nbsp;sold&nbsp;or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website.&nbsp;You can visit this site for more information on other international consumer product recalls.",Chemicals,,2026-07-28,0
82204,"Transport Canada Recall - 2026271 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026271-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES",Steering,,SUV,,2026-07-28,0
82389,"Transport Canada Recall - 2026344 - NISSAN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026344-nissan,TC,"SUV recalled by NISSAN",Label,,SUV,,2026-07-28,0
82404,"Oxygen 100%: Gas cylinders containing commercial grade oxygen",https://recalls-rappels.canada.ca/en/alert-recall/oxygen-100-gas-cylinders-containing-commercial-grade-oxygen,"Drugs and health products","OXYGEN 100%","Product quality","Consult your healthcare provider for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2026-07-28,0
82411,"Our Finest brand Shrimp Ring with Mild Cocktail Sauce recalled due to 3-amino-2-oxazolidinone",https://recalls-rappels.canada.ca/en/alert-recall/our-finest-brand-shrimp-ring-mild-cocktail-sauce-recalled-due-3-amino-2-oxazolidinone,CFIA,"Shrimp Ring with Mild Cocktail Sauce",Contamination,,Frozen,"Class 3",2026-07-28,0
82412,"IQecg® Digital ECG",https://recalls-rappels.canada.ca/en/alert-recall/iqecgr-digital-ecg,"Medical devices","IQecg® Digital ECG",Performance,,Cardiovascular,"Type II",2026-07-28,0
82413,"Blanketrol® II 115V and Blanketrol® III 115V",https://recalls-rappels.canada.ca/en/alert-recall/blanketrolr-ii-115v-and-blanketrolr-iii-115v,"Medical devices","Blanketrol® II 115V and Blanketrol® III 115V",Performance,,"General hospital and personal use - Cardiovascular","Type II",2026-07-28,0
82420,"Transport Canada Recall - 2026357 - VOLKSWAGEN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026357-volkswagen,TC,"SUV recalled by VOLKSWAGEN","Visual System",,SUV,,2026-07-28,0
76910,"Patient Tables of Philips Allura and Azurion systems",https://recalls-rappels.canada.ca/en/alert-recall/patient-tables-philips-allura-and-azurion-systems,"Medical devices","Patient Tables of Philips Allura and Azurion systems",Performance,,Radiology,"Type II",2026-07-27,0
82359,"Harmonic Arts Holy Basil Tincture; Out of Specification (total aerobic microbial count)",https://recalls-rappels.canada.ca/en/alert-recall/harmonic-arts-holy-basil-tincture-out-specification-total-aerobic-microbial-count,"Drugs and health products","Holy Basil Tincture","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints to Health Canada.","Natural health products","Type III",2026-07-27,0
82407,"Fromagerie P. Jacquin & Fils brand Valençay AOP ""fromage de chèvre au lait cru"" recalled due to generic E. coli",https://recalls-rappels.canada.ca/en/alert-recall/fromagerie-p-jacquin-fils-brand-valencay-aop-fromage-chevre-au-lait-cru-recalled-due,CFIA,"Valençay AOP ""fromage de chèvre au lait cru""","E. Coli - non-pathogenic",,Dairy,"Class 3",2026-07-27,0
82409,"Sphere-9™ Catheter",https://recalls-rappels.canada.ca/en/alert-recall/sphere-9tm-catheter,"Medical devices","Sphere-9™ Catheter",Performance,,Cardiovascular,"Type I",2026-07-27,0
82410,"Spacelabs Healthcare Xhibit® Central Station",https://recalls-rappels.canada.ca/en/alert-recall/spacelabs-healthcare-xhibitr-central-station,"Medical devices","Spacelabs Healthcare Xhibit® Central Station",Performance,,Cardiovascular,"Type II",2026-07-27,0
82381,"Izem Energy brand energy drinks recalled due to labelling issues ",https://recalls-rappels.canada.ca/en/alert-recall/izem-energy-brand-energy-drinks-recalled-due-labelling-issues,CFIA,"Energy drinks","Labelling and packaging",,Non-alcoholic,"Class 2",2026-07-24,0
82405,"Cadbury brand Dairy Milk Oreo Candy (bar) recalled due to undeclared pistachio",https://recalls-rappels.canada.ca/en/alert-recall/cadbury-brand-dairy-milk-oreo-candy-bar-recalled-due-undeclared-pistachio,CFIA,"Dairy Milk Oreo Candy (bar)","Tree nut","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 1",2026-07-24,0
82380,"HeartSine® Samaritan® PAD SAM 350P/SAM 360P/SAM 500P - Membrane Tail",https://recalls-rappels.canada.ca/en/alert-recall/heartsiner-samaritanr-pad-sam-350psam-360psam-500p-membrane-tail,"Medical devices","HeartSine® Samaritan® PAD SAM 350P/SAM 360P/SAM 500P Defibrillator - Membrane Tail",Performance,,Cardiovascular,"Type II",2026-07-23,0
82391,"Briine brand Pacific Tide Sparkling Spring Water recalled due to bulging cans",https://recalls-rappels.canada.ca/en/alert-recall/briine-brand-pacific-tide-sparkling-spring-water-recalled-due-bulging-cans,CFIA,"Pacific Tide Sparkling Spring Water","Non harmful (quality or spoilage)",,Non-alcoholic,"Class 3",2026-07-23,0
82392,"Izem Energy brand energy drinks recalled due to labelling issues",https://recalls-rappels.canada.ca/en/alert-recall/izem-energy-brand-energy-drinks-recalled-due-labelling-issues-0,CFIA,"Energy drinks","Labelling and packaging",,Non-alcoholic,"Class 2",2026-07-23,0
82395,"OverStitch™ Suture Cinch and Suture Cinch–Long",https://recalls-rappels.canada.ca/en/alert-recall/overstitchtm-suture-cinch-and-suture-cinch-long,"Medical devices","OverStitch™ Suture Cinch and Suture Cinch–Long",Performance,,"General and plastic surgery","Type II",2026-07-23,0
82396,"Westside Sauce brand Peanut Thai recalled due to spoilage",https://recalls-rappels.canada.ca/en/alert-recall/westside-sauce-brand-peanut-thai-recalled-due-spoilage,CFIA,"Peanut Thai","Non harmful (quality or spoilage)",,Condiments,"Class 3",2026-07-23,0
82406,"Transport Canada Recall - 2026360 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026360-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Electrical,,"RV Trailer",,2026-07-23,0
78006,"Transport Canada Recall - 2025428 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025428-international-motors,TC,"Truck - Med. & H.D. recalled by INTERNATIONAL MOTORS",Electrical,,"Truck - Med. & H.D.",,2026-07-22,0
78434,"Transport Canada Recall - 2025588 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025588-ford,TC,"SUV recalled by FORD",Structure,,SUV,,2026-07-22,0
82374,"​​Shades and Alternating Blinds with a chain and cord-shield from Prime Custom Blinds​ recalled due to strangulation hazard",https://recalls-rappels.canada.ca/en/alert-recall/shades-and-alternating-blinds-chain-and-cord-shield-prime-custom-blinds-recalled-due,"Consumer product safety","Shades and alternating blinds","Strangulation hazard","Consumers should immediately stop using the recalled products and contact the company to obtain a repair kit.For more information, consumers can contact Prime Custom Blinds by telephone at 514-552-1026, Monday to Friday, from 9 am to 5 pm, ET, by email at info@pcblinds.com or visit the company website.&nbsp;&nbsp;Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-07-22,0
82376,"M & B SALT REMOVER recalled due to risk of potential rupture hazard ",https://recalls-rappels.canada.ca/en/alert-recall/m-b-salt-remover-recalled-due-risk-potential-rupture-hazard,"Consumer product safety","M & B SALT REMOVER","Labelling and packaging","Consumers should immediately stop using the recalled product and dispose of it according to municipal hazardous waste guidelines.&nbsp;For more information, consumers can contact Moneysworth &amp; Best Inc. (M&amp;B) by telephone at 905-790-0650, business hours: 7:30 AM - 4:00 PM EST, Monday to Friday, by email at info@MandB.ca or visit the company website www.mandb.ca&nbsp;&nbsp;&nbsp;Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Chemicals,,2026-07-22,0
82378,"DCA Vantage® HbA1c (DX Claim)",https://recalls-rappels.canada.ca/en/alert-recall/dca-vantager-hba1c-dx-claim,"Medical devices","DCA Vantage® HbA1c (DX Claim)",Performance,,Haematology,"Type II",2026-07-22,0
82379,"HeartSine® Samaritan® PAD SAM 350P/SAM 360P/SAM 500P",https://recalls-rappels.canada.ca/en/alert-recall/heartsiner-samaritanr-pad-sam-350psam-360psam-500p,"Medical devices","HeartSine® Samaritan® PAD SAM 350P/SAM 360P/SAM 500P","Labelling and packaging",,Cardiovascular,"Type II",2026-07-22,0
82393,"10392804 Canada Inc. d.b.a Sweet Vengeance recalls certain edible cannabis products due to undeclared milk and hazelnut, and labelling issues",https://recalls-rappels.canada.ca/en/alert-recall/10392804-canada-inc-dba-sweet-vengeance-recalls-certain-edible-cannabis-products-due,"Controlled substances and cannabis","Certain Social Sessions edible cannabis products","Undeclared food allergen - Labelling and packaging - Suspected quality concern","Stop using the products if they are part of the recallReturn the products to the store where you bought them or dispose of them. Dispose of any products that you have opened safely and out of the reach of children and youth.Report any health or safety complaints you have about these or other cannabis products by filling out the Cannabis Reporting Form online.",Cannabis,,2026-07-22,0
82397,"Transport Canada Recall - 2026346 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026346-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES",Wheels,,SUV,,2026-07-22,0
82398,"Transport Canada Recall - 2026348 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026348-international-motors,TC,"Truck - Med. & H.D. recalled by INTERNATIONAL MOTORS",Electrical,,"Truck - Med. & H.D.",,2026-07-22,0
82399,"Transport Canada Recall - 2026349 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026349-international-motors,TC,"School Bus recalled by INTERNATIONAL MOTORS",Structure,,"School Bus",,2026-07-22,0
82400,"Transport Canada Recall - 2026350 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026350-international-motors,TC,"Bus recalled by INTERNATIONAL MOTORS",Structure,,Bus,,2026-07-22,0
82401,"Transport Canada Recall - 2026351 - BLUE BIRD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026351-blue-bird,TC,"School Bus recalled by BLUE BIRD",Brakes,,"School Bus",,2026-07-22,0
82402,"Transport Canada Recall - 2026352 - BLUE BIRD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026352-blue-bird,TC,"Bus recalled by BLUE BIRD",Brakes,,Bus,,2026-07-22,0
82403,"Transport Canada Recall - 2026353 - KAWASAKI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026353-kawasaki,TC,"Motorcycle recalled by KAWASAKI","Lights And Instruments",,Motorcycle,,2026-07-22,0
82302,"Mequ A/S ºM Warmer Leakage",https://recalls-rappels.canada.ca/en/alert-recall/mequ-om-warmer-leakage,"Medical devices","ºM Warmer",Performance,,Haematology,"Type II",2026-07-21,0
82369,"Michley brand Children’s Pajamas recalled due to flammability hazard",https://recalls-rappels.canada.ca/en/alert-recall/michley-brand-children-s-pajamas-recalled-due-flammability-hazard,"Consumer product safety","Michley-branded children’s pajamas","Flammability hazard","Consumers should immediately stop using the recalled product, safely dispose of it in such a way that it cannot be used again and contact SHEIN Distribution Canada Limited for a refund.For more information, consumers can contact SHEIN Distribution Canada Limited at 1-888-971-5568 toll-free Monday through Friday, from 9:00 AM to 6:00 PM PT, by email at&nbsp;cacsteam@shein.com or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Clothing,,2026-07-21,0
82370,"RAINS Stainless Steel Tumbler recalled due to burn hazard",https://recalls-rappels.canada.ca/en/alert-recall/rains-stainless-steel-tumbler-recalled-due-burn-hazard,"Consumer product safety","RAINS Stainless Steel Tumbler 450 mL","Burn hazard","Consumers should immediately stop using the recalled product and email RAINS ApS for a refund.&nbsp;For more information, consumers can contact&nbsp;RAINS ApS by telephone at (201) 956-1464, Monday to Friday from 8:00 a.m. to 4:00 p.m. EST or by email at&nbsp;Mail@rains.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Kitchenware and tableware",,2026-07-21,0
82375,"Shimadzu X-ray High Voltage Generators",https://recalls-rappels.canada.ca/en/alert-recall/shimadzu-x-ray-high-voltage-generators,"Medical devices","Shimadzu X-ray High Voltage Generators",Performance,,Radiology,"Type II",2026-07-21,0
82377,"Cardinal Health - Presource® Kits Containing the Ritmed® Neurological Sponges",https://recalls-rappels.canada.ca/en/alert-recall/cardinal-health-presourcer-kits-containing-ritmedr-neurological-sponges,"Medical devices","Cardinal Health - Presource® Kits Containing the Ritmed® Neurological Sponges",Sterility,,"General hospital and personal use - General and plastic surgery - Orthopaedics","Type II",2026-07-21,0
82394,"Transport Canada Recall - 2026347 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026347-fiat-chrysler-automobiles,TC,"Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES","Visual System",,"Light Truck & Van",,2026-07-21,0
77750,"Philips Achieva and Ingenia Systems",https://recalls-rappels.canada.ca/en/alert-recall/philips-achieva-and-ingenia-systems,"Medical devices","Philips Achieva and Ingenia Systems",Performance,,Radiology,"Type II",2026-07-20,0
82367,"ATTITUDE Bathroom Cleaner Disinfectant: Affected lot may be missing expiry date",https://recalls-rappels.canada.ca/en/alert-recall/attitude-bathroom-cleaner-disinfectant-affected-lot-may-be-missing-expiry-date,"Drugs and health products","ATTITUDE Bathroom Cleaner Disinfectant",Labelling,"Discontinue use if you have the affected product.Contact the recalling firm if you have any questions about the recall.Report any health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.",Drugs,"Type III",2026-07-20,0
82368,"Goodfood brand meatball meals recalled due to undeclared egg and sesame",https://recalls-rappels.canada.ca/en/alert-recall/goodfood-brand-meatball-meals-recalled-due-undeclared-egg-and-sesame,CFIA,"Meatball meals","Egg - Sesame seeds",,"Multiple food items","Class 2",2026-07-20,0
82382,"Transport Canada Recall - 2026326 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026326-honda,TC,"Minivan recalled by HONDA","Visual System",,Minivan,,2026-07-20,0
82383,"Transport Canada Recall - 2026338 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026338-ford,TC,"Car recalled by FORD","Fuel System",,Car,,2026-07-20,0
82384,"Transport Canada Recall - 2026339 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026339-ford,TC,"SUV recalled by FORD","Seats And Restraints",,SUV,,2026-07-20,0
82385,"Transport Canada Recall - 2026340 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026340-ford,TC,"SUV recalled by FORD","Seats And Restraints",,SUV,,2026-07-20,0
82386,"Transport Canada Recall - 2026341 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026341-ford,TC,"SUV recalled by FORD",Structure,,SUV,,2026-07-20,0
82387,"Transport Canada Recall - 2026342 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026342-ford,TC,"Light Truck & Van recalled by FORD","Lights And Instruments",,"Light Truck & Van",,2026-07-20,0
82388,"Transport Canada Recall - 2026343 - EMERGENCY ONE",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026343-emergency-one,TC,"Truck - Med. & H.D. recalled by EMERGENCY ONE",Powertrain,,"Truck - Med. & H.D.",,2026-07-20,0
82390,"Transport Canada Recall - 2026345 - LAND ROVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026345-land-rover,TC,"SUV recalled by LAND ROVER","Visual System",,SUV,,2026-07-20,0
82334,"Mounit el Bait brand Tahina recalled due to undeclared peanut",https://recalls-rappels.canada.ca/en/alert-recall/mounit-el-bait-brand-tahina-recalled-due-undeclared-peanut,CFIA,Tahina,Peanut,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Condiments,"Class 1",2026-07-17,0
82350,"4K UHD LCD Monitor",https://recalls-rappels.canada.ca/en/alert-recall/4k-uhd-lcd-monitor,"Medical devices","4K UHD LCD Monitor",Performance,,"General hospital and personal use","Type II",2026-07-17,0
82351,"Merge PACS",https://recalls-rappels.canada.ca/en/alert-recall/merge-pacs-3,"Medical devices","Merge PACS",Performance,,Radiology,"Type II",2026-07-17,0
82352,"ER-Spec Single-Use Vaginal Speculum with LED Light Source",https://recalls-rappels.canada.ca/en/alert-recall/er-spec-single-use-vaginal-speculum-led-light-source,"Medical devices","ER-Spec Single-Use Vaginal Speculum with LED Light Source",Performance,,"Obstetrics and gynaecology","Type II",2026-07-17,0
82353,"Atellica® CH Urine Albumin (UAlb)",https://recalls-rappels.canada.ca/en/alert-recall/atellicar-ch-urine-albumin-ualb,"Medical devices","Atellica® CH Urine Albumin (UAlb)",Performance,,Chemistry,"Type II",2026-07-17,0
82354,"Various brands of  meat products recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/various-brands-meat-products-recalled-due-listeria-monocytogenes,CFIA,"Meat products",Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Listeria monocytogenes may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,"Class 1",2026-07-17,0
82372,"Transport Canada Recall - 2026325 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026325-honda,TC,"SUV recalled by HONDA",Structure,,SUV,,2026-07-17,0
82373,"Transport Canada Recall - 2026328 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026328-ford,TC,"SUV recalled by FORD",Structure,,SUV,,2026-07-17,0
81988,"Ola-Ola brand Authentic Pounded Yam (Iyan) IYANINSTANT recalled due to undeclared milk",https://recalls-rappels.canada.ca/en/alert-recall/ola-ola-brand-authentic-pounded-yam-iyan-iyaninstant-recalled-due-undeclared-milk,CFIA,"Authentic Pounded Yam (Iyan) IYANINSTANT",Milk,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,"Class 1",2026-07-16,0
82296,"Panasonic Flashxpress Toaster Oven recalled due to electric shock hazard ",https://recalls-rappels.canada.ca/en/alert-recall/panasonic-flashxpress-toaster-oven-recalled-due-electric-shock-hazard,"Consumer product safety","Panasonic Flashxpress Toaster Oven, Model No. NB-G205S","Electrical hazard","Consumers should immediately stop using the recalled product and return it to Panasonic Canada Inc. for a refund.For more information, consumers can contact&nbsp;Panasonic Canada Inc. by telephone at 1-888-422-6296, from 8 a.m. to 5 p.m.&nbsp; ET, Monday through Friday with service provided in English and French or visit the company website.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Panasonic Canada Inc.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2026-07-16,0
